Country,Active Users,Total Score,Ranked Score,Total Play Count,Performance
Gambia,8,5.07K,188.25M,23.53M,1.78K
Sao Tome and Principe,8,10.38K,563.47M,70.43M,2.77K
Saint Barthelemy,7,79.84K,32.18B,4.60B,13.95K
Niger,7,43.71K,15.30B,2.19B,11.18K
Europe,7,23.56K,1.72B,245.71M,5.36K
Lesotho,6,7.24K,358.60M,59.77M,2.00K
American Samoa,5,18.97K,887.62M,177.52M,5.29K
Vanuatu,5,7.29K,2.14B,428.38M,3.21K
Timor-Leste,4,96.11K,9.29B,2.32B,10.14K
Guinea,4,62.13K,5.52B,1.38B,9.03K
Palau,4,5.26K,368.20M,92.05M,1.94K
Samoa,4,24.13K,5.85B,1.46B,6.45K
Antarctica,4,392.00,107.77M,26.94M,892.00
Sierra Leone,3,20.56K,2.83B,944.98M,4.50K
Cook Islands,3,34.06K,4.40B,1.47B,5.34K
Marshall Islands,2,42.02K,5.04B,2.52B,5.92K
Chad,2,4.70K,791.73M,395.87M,3.20K
Burundi,2,1.73K,74.07M,37.03M,495.00
Comoros,2,86.00,5.43M,2.72M,145.00
Equatorial Guinea,2,87.00,2.72M,1.36M,93.00
Tonga,1,1.16K,108.71M,108.71M,451.00
Tokelau,1,724.00,888.02M,888.02M,1.97K
Christmas Island,1,28.00,10.79M,10.79M,160.00
South Sudan,1,1.22K,45.10M,45.10M,389.00
Kiribati,1,48.00,6.04M,6.04M,69.00
Holy See (Vatican City State),1,4.00,421.92K,421.92K,7.00
Solomon Islands,1,1.00,212.57K,212.57K,5.00
Niue,1,1.00,52.70K,52.70K,2.00
